Date,fund01,fund06,fund05,fund04,fund03,fund07,fund02,fund09,fund08,fund29,fund28
2013-01-02,1.7329,1.2872,1.2231,NA,1.0005,0.6254,1.0905,0.6519,0.7971,1.2383,1.1611
2013-01-03,1.7464,1.2891,1.2244,NA,1.0007,0.6253,1.0911,0.6455,0.7931,1.2482,1.1619
2013-01-04,1.74,1.2916,1.2259,1.1203,1.0004,0.6301,1.0912,0.6417,0.8022,1.2465,1.1628
2013-01-07,1.7377,1.2886,1.2239,1.1211,1.0006,0.6276,1.0906,0.6398,0.798,1.2455,1.1615
2013-01-08,1.728,1.2832,1.2201,1.1222,1.0007,0.626,1.0894,0.6359,0.7951,1.2391,1.1591
2013-01-09,1.7345,1.2873,1.2234,1.1231,1.0009,0.629,1.0909,0.6452,0.7962,1.2427,1.1615
2013-01-10,1.74,1.2906,1.2255,1.1216,1.0008,0.6323,1.0915,0.6508,0.7983,1.2475,1.1628
2013-01-11,1.7352,1.2909,1.2257,1.1215,1.0007,0.6336,1.0916,0.6529,0.8019,1.2444,1.163
2013-01-14,1.7388,1.2922,1.2268,NA,1.0009,0.6331,1.0922,0.6582,0.8003,1.2497,1.1638
2013-01-15,1.7376,1.2932,1.2278,1.1234,1.0011,0.6343,1.0929,0.6589,0.8022,1.2478,1.1647
2013-01-16,1.7457,1.295,1.2295,1.125,1.0015,0.6331,1.0941,0.6637,0.7995,1.2548,1.166
2013-01-17,1.7522,1.3002,1.2335,1.1252,1.0018,0.6369,1.0956,0.66,0.8057,1.2603,1.1688
2013-01-18,1.7575,1.3047,1.2365,1.1242,1.0016,0.6396,1.0965,0.6611,0.8095,1.2611,1.1706
2013-01-21,1.7598,NA,NA,NA,1.0019,NA,NA,0.6586,NA,1.2627,NA
2013-01-22,1.7602,1.3049,1.2369,1.1252,1.0019,0.6409,1.097,0.6584,0.808,1.2652,1.1711
2013-01-23,1.7636,1.3058,1.2379,1.1268,1.0021,0.641,1.0977,0.6559,0.808,1.2663,1.1719
2013-01-24,1.7718,1.3129,1.2433,1.1268,1.0024,0.6435,1.0999,0.6585,0.8159,1.2742,1.1756
2013-01-25,1.781,1.3211,1.2489,1.1246,1.0024,0.6478,1.1017,0.6669,0.8243,1.2832,1.1793
2013-01-29,1.8002,1.3278,1.2531,1.1211,1.002,0.6498,1.1027,0.6677,0.8258,1.3021,1.1816
2013-01-30,1.8031,1.3291,1.2538,1.1201,1.0021,0.6485,1.1028,0.6691,0.8272,1.2987,1.1821
2013-01-31,1.7963,1.3261,1.252,1.122,1.0024,0.6466,1.1025,0.6719,0.8247,1.2923,1.1811
2013-02-01,1.8115,1.3369,1.2597,1.1205,1.0024,0.652,1.1052,0.6781,0.8339,1.304,1.1861
2013-02-04,1.8064,1.3286,1.2533,1.1197,1.0024,0.6451,1.1027,0.6767,0.8218,1.2992,1.1817
