Date,Purchase,NAV,Withdrawal
2013-01-02,1.2402,1.2383,1.2370
2013-01-03,1.2501,1.2482,1.2469
2013-01-04,1.2484,1.2465,1.2452
2013-01-07,1.2474,1.2455,1.2442
2013-01-08,1.2410,1.2391,1.2378
2013-01-09,1.2446,1.2427,1.2414
2013-01-10,1.2494,1.2475,1.2462
2013-01-11,1.2463,1.2444,1.2431
2013-01-14,1.2516,1.2497,1.2484
2013-01-15,1.2497,1.2478,1.2465
2013-01-16,1.2567,1.2548,1.2535
2013-01-17,1.2622,1.2603,1.2590
2013-01-18,1.2630,1.2611,1.2598
2013-01-21,1.2646,1.2627,1.2614
2013-01-22,1.2671,1.2652,1.2639
2013-01-23,1.2682,1.2663,1.2650
2013-01-24,1.2762,1.2742,1.2729
2013-01-25,1.2852,1.2832,1.2819
2013-01-29,1.3041,1.3021,1.3007
2013-01-30,1.3007,1.2987,1.2974
2013-01-31,1.2943,1.2923,1.2910
2013-02-01,1.3060,1.3040,1.3026
2013-02-04,1.3012,1.2992,1.2979
2013-02-05,1.2985,1.2965,1.2952
2013-02-06,1.3071,1.3051,1.3037
2013-02-07,1.3134,1.3114,1.3100
2013-02-08,1.3210,1.3190,1.3176
2013-02-11,1.3194,1.3174,1.3160
2013-02-12,1.3241,1.3221,1.3207
2013-02-13,1.3382,1.3361,1.3347
2013-02-14,1.3448,1.3427,1.3413
2013-02-15,1.3507,1.3486,1.3472
2013-02-18,1.3687,1.3666,1.3652
2013-02-19,1.3714,1.3693,1.3679
2013-02-20,1.3741,1.3720,1.3706
2013-02-21,1.3473,1.3452,1.3438
2013-02-22,1.3628,1.3607,1.3593
2013-02-25,1.3785,1.3764,1.3750
2013-02-26,1.3651,1.3630,1.3616
2013-02-27,1.3707,1.3686,1.3672
2013-02-28,1.3838,1.3817,1.3803
2013-03-01,1.3814,1.3793,1.3779
2013-03-04,1.3659,1.3638,1.3624
2013-03-05,1.3857,1.3836,1.3822
2013-03-06,1.3976,1.3955,1.3941
2013-03-07,1.3956,1.3935,1.3921
2013-03-08,1.3975,1.3954,1.3940
2013-03-11,1.4070,1.4048,1.4033
2013-03-12,1.3991,1.3970,1.3956
2013-03-13,1.3882,1.3861,1.3847
2013-03-14,1.3732,1.3711,1.3697
2013-03-15,1.3986,1.3965,1.3951
2013-03-18,1.3728,1.3707,1.3693
2013-03-19,1.3677,1.3656,1.3642
